Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-019,TAK,Takeda Pharmaceutical,NYSE,2025.0,2025Q3,30/09/2025,USD,1112796.0,161482.0,253551.0,681486.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-019,TAK,Takeda Pharmaceutical,NYSE,2025.0,2025Q2,30/06/2025,USD,1106685.0,143891.0,255885.0,350008.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-019,TAK,Takeda Pharmaceutical,NYSE,2025.0,2025Q1,31/03/2025,USD,1053399.0,216007.0,295866.0,385113.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-020,BAYN.DE,Bayer,XETRA,2025.0,2026Q1,31/03/2026,USD,14477.4,1532.52,3991.68,6186.24,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-021,4578.T,Taiho Oncology,Tokyo Stock Exchange,2025.0,2025Q4,31/12/2025,USD,3456.51,493.2,1233.0,3082.5,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-022,ZTS,Zoetis Inc.,NYSE,2026.0,2026Q1,31/03/2026,USD,2262.0,180.0,588.0,1940.0,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-022,ZTS,Zoetis Inc.,NYSE,2025.0,2025Q4,31/12/2025,USD,2387.0,199.0,619.0,2310.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-022,ZTS,Zoetis Inc.,NYSE,2025.0,2025Q3,30/09/2025,USD,2400.0,170.0,579.0,2080.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-022,ZTS,Zoetis Inc.,NYSE,2025.0,2025Q2,30/06/2025,USD,2460.0,172.0,617.0,1435.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-022,ZTS,Zoetis Inc.,NYSE,2025.0,2025Q1,31/03/2025,USD,2198.0,162.0,574.0,1720.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-023,6160.HK,BeOne Medicines,Hong Kong Stock Exchange,2025.0,2026Q1,31/03/2026,USD,1500.0,450.0,420.0,3200.0,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-024,4568.T,Daiichi Sankyo,Tokyo Stock Exchange,2025.0,2025Q4,31/03/2026,USD,3635.71,667.64,1496.65,4572.43,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-025,BIIB,Biogen,NASDAQ,2026.0,2026Q1,31/03/2026,USD,2477.8,539.0,607.3,3382.7,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-025,BIIB,Biogen,NASDAQ,2025.0,2025Q4,31/12/2025,USD,2279.4,509.4,682.5,3008.5,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-025,BIIB,Biogen,NASDAQ,2025.0,2025Q3,30/09/2025,USD,2534.7,436.1,594.8,3862.8,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-025,BIIB,Biogen,NASDAQ,2025.0,2025Q2,30/06/2025,USD,2645.5,399.0,583.8,2758.8,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-025,BIIB,Biogen,NASDAQ,2025.0,2025Q1,31/03/2025,USD,2431.0,434.1,572.5,2598.3,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-026,4503.T,Astellas Pharma,Tokyo Stock Exchange,2025.0,2025Q4,31/03/2026,USD,3663.46,518.14,1379.28,2825.32,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-027,4519.T,Chugai Pharmaceutical,Tokyo,2025.0,2026Q1,31/03/2026,USD,2203.97,287.21,170.28,2360.28,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,2026.0,2026Q1,31/03/2026,USD,389.0,649.0,173.0,1908.0,,False,GAAP,False,yfinance_fetch,13/05/2026
